titoloFile,hrefFile,titoloPagina,url
Andamento della mortalità giornaliera (SiSMG) nelle città italiane in relazione all’epidemia di Covid-19 - 1 settembre - 15 dicembre 2020,http://www.salute.gov.it/imgs/C_17_pubblicazioni_2992_allegato.pdf,Andamento della mortalità giornaliera SiSMG nelle città italiane in relazione all’epidemia di Covid-19 - 1 settembre - 15 dicembre 2020,http://www.salute.gov.it/portale/documentazione/p6_2_2_1.jsp?lingua=italiano&id=2992
Andamento della mortalità giornaliera (SiSMG) nelle città italiane in relazione all’epidemia di Covid-19 - 1 settembre - 8 dicembre 2020,http://www.salute.gov.it/imgs/C_17_pubblicazioni_2988_allegato.pdf,Andamento della mortalità giornaliera SiSMG nelle città italiane in relazione all’epidemia di Covid-19 - 1 settembre - 8 dicembre 2020,http://www.salute.gov.it/portale/documentazione/p6_2_2_1.jsp?lingua=italiano&id=2988
Andamento della mortalità giornaliera (SiSMG) nelle città italiane in relazione all’epidemia di Covid-19 fase II - Quinto rapporto,http://www.salute.gov.it/imgs/C_17_pubblicazioni_2965_allegato.pdf,Andamento della mortalità giornaliera SiSMG nelle città italiane in relazione all’epidemia di Covid-19 fase II - Quinto rapporto,http://www.salute.gov.it/portale/documentazione/p6_2_2_1.jsp?lingua=italiano&id=2965
Andamento della mortalità giornaliera (SiSMG) nelle città italiane in relazione all’epidemia di Covid-19 fase II - Quarto rapporto,http://www.salute.gov.it/imgs/C_17_pubblicazioni_2954_allegato.pdf,Andamento della mortalità giornaliera SiSMG nelle città italiane in relazione all’epidemia di Covid-19 fase II - Quarto rapporto,http://www.salute.gov.it/portale/documentazione/p6_2_2_1.jsp?lingua=italiano&id=2954
Andamento della mortalità giornaliera (SiSMG) nelle città italiane in relazione all’epidemia di Covid-19 fase II - Terzo rapporto,http://www.salute.gov.it/imgs/C_17_pubblicazioni_2943_allegato.pdf,Andamento della mortalità giornaliera SiSMG nelle città italiane in relazione all’epidemia di Covid-19 fase II - Terzo rapporto,http://www.salute.gov.it/portale/documentazione/p6_2_2_1.jsp?lingua=italiano&id=2943
Andamento della mortalità giornaliera (SiSMG) nelle città italiane in relazione all’epidemia di Covid-19 - 1 settembre - 27 ottobre,http://www.salute.gov.it/imgs/C_17_pubblicazioni_2973_allegato.pdf,Andamento della mortalità giornaliera SiSMG nelle città italiane in relazione all’epidemia di Covid-19 - 1 settembre - 27 ottobre,http://www.salute.gov.it/portale/documentazione/p6_2_2_1.jsp?lingua=italiano&id=2973
Andamento della mortalità giornaliera (SiSMG) nelle città italiane in relazione all’epidemia di Covid-19 - 1 settembre 2020 - 9 febbraio 2021,http://www.salute.gov.it/imgs/C_17_pubblicazioni_3021_allegato.pdf,Andamento della mortalità giornaliera SiSMG nelle città italiane in relazione all’epidemia di Covid-19 - 1 settembre 2020 - 9 febbraio 2021,http://www.salute.gov.it/portale/documentazione/p6_2_2_1.jsp?lingua=italiano&id=3021
Andamento della mortalità giornaliera (SiSMG) nelle città italiane in relazione all’epidemia di Covid - 1 settembre - 20 ottobre,http://www.salute.gov.it/imgs/C_17_pubblicazioni_2972_allegato.pdf,Andamento della mortalità giornaliera SiSMG nelle città italiane in relazione all’epidemia di Covid-19 - 1 settembre - 20 ottobre,http://www.salute.gov.it/portale/documentazione/p6_2_2_1.jsp?lingua=italiano&id=2972
Andamento della mortalità giornaliera (SiSMG) nelle città italiane in relazione all’epidemia di Covid-19 fase II - Sesto rapporto,http://www.salute.gov.it/imgs/C_17_pubblicazioni_2966_allegato.pdf,Andamento della mortalità giornaliera SiSMG nelle città italiane in relazione all’epidemia di Covid-19 fase II - Sesto rapporto,http://www.salute.gov.it/portale/documentazione/p6_2_2_1.jsp?lingua=italiano&id=2966
Andamento della mortalità giornaliera (SiSMG) nelle città italiane in relazione all’epidemia di Covid-19 - 1 settembre - 24 novembre,http://www.salute.gov.it/imgs/C_17_pubblicazioni_2981_allegato.pdf,Andamento della mortalità giornaliera SiSMG nelle città italiane in relazione all’epidemia di Covid-19 - 1 settembre - 24 novembre 2020,http://www.salute.gov.it/portale/documentazione/p6_2_2_1.jsp?lingua=italiano&id=2981
