pa,titolo,dataApertura,dataChiusura,URL,dataAperturaDate,dataChiusuraDate
Ministero dell'Università e ricerca,Avviso pubblico per la presentazione di proposte progettuali per “Rafforzamento e creazione di Infrastrutture di Ricerca” da finanziare nell’ambito del PNRR,31/01/22,28/02/22,https://www.mur.gov.it/sites/default/files/2021-12/Avviso%20n.%203264%20del%2028-12-2021.pdf,2022-01-31,2022-02-28
Ministero dell'Università e ricerca,Avviso per la concessione di finanziamenti destinati alla realizzazione o ammodernamento di Infrastrutture tecnologiche di innovazione,26/01/22,10/03/22,https://www.mur.gov.it/sites/default/files/2021-12/Avviso%20n.%203265%20del%2028-12-2021.pdf,2022-01-26,2022-03-10
Ministero dell'Università e ricerca,"Creazione e rafforzamento di ""ecosistemi dell'innovazione per la sostenibilità"", costruendo ""leader territoriali di R&S""",24/01/22,24/02/22,https://www.mur.gov.it/it/atti-e-normativa/avviso-n-3277-del-30-12-2021,2022-01-24,2022-02-24
Ministero dell'Università e ricerca,"Potenziamento strutture di ricerca e creazione di ""campioni nazionali"" di R&S su alcune ""Key Enabling Technologies""",17/01/22,15/02/22,https://www.mur.gov.it/it/atti-e-normativa/decreto-direttoriale-n3138-del-16-12-2021,2022-01-17,2022-02-15
Ministero dell'Innovazione tecnologica e transizione digitale,Bando per la concessione di contributi pubblici per il finanziamento di progetti di investimento per la realizzazione di nuove infrastrutture di telecomunicazioni e relativi apparati di accesso in grado di erogare servizi con capacità di almeno 1 gbit/s in download e 200 mbit/s in upload,15/01/22,16/03/22,https://www.infratelitalia.it/archivio-documenti/documenti/avviso-bando-italia-1-giga,2022-01-15,2022-03-16
Ministero della Cultura,"Avviso pubblico per la presentazione di Proposte di intervento per il restauro e la valorizzazione di parchi e giardini storici da finanziare nell’ambito del PNRR, Missione 1 – Digitalizzazione, innovazione, competitività e cultura, Component 3 – Cultura 4.0 (M1C3), Misura 2 “Rigenerazione di piccoli siti culturali, patrimonio culturale, religioso e rurale”, Investimento 2.3: “Programmi per valorizzare l’identità dei luoghi: parchi e giardini storici” finanziato dall’Unione europea – NextGenerationEU",30/12/21,15/03/22,https://cultura.gov.it/giardini,2021-12-30,2022-03-15
Ministero del Sud e Coesione Territoriale,"Avviso pubblico per la presentazione di proposte di intervento per la selezione di progetti socio-educativi strutturati per combattere la povertà educativa nel Mezzogiorno (Abruzzo, Basilicata, Campania, Calabria, Molise, Puglia, Sardegna e Sicilia) a sostegno del Terzo Settore da finanziare nell’ambito del PNRR, Missione 5 – Componente 3 – Investimento 3 Interventi socio-educativi strutturati per combattere la povertà educativa nel Mezzogiorno a sostegno del Terzo Settore – finanziato dall’Unione Europea – NextGenerationEU",30/12/21,01/03/22,https://www.agenziacoesione.gov.it/opportunita-e-bandi/avviso-pubblico-per-la-presentazione-di-proposte-di-intervento-per-la-selezione-di-progetti-socio-educativi-strutturati-per-combattere-la-poverta-educativa-nel-mezzogiorno/,2021-12-30,2022-03-01
Ministero del Sud e Coesione Territoriale,"Avviso pubblico per la concessione di risorse destinate al consolidamento delle farmacie rurali da finanziare nell’ambito del PNRR, Missione n. 5 “Inclusione e Coesione” – Componente 3: “Interventi speciali per la coesione territoriale” - Investimento 1: Strategia nazionale per le aree interne – sub investimento 1.2 “Strutture sanitarie di prossimità territoriale” finanziato dall’Unione Europea- Next GenerationEU",29/12/21,30/06/22,https://www.agenziacoesione.gov.it/opportunita-e-bandi/avviso-pubblico-farmacie-rurali/,2021-12-29,2022-06-30
Ministero della Cultura,"Avviso pubblico per la presentazione di Proposte di intervento per la promozione dell’ecoefficienza e riduzione dei consumi energetici nelle sale teatrali e nei cinema, pubblici e privati, da finanziare nell’ambito del PNRR",27/12/21,18/03/22,http://www.spettacolodalvivo.beniculturali.it/avviso-pubblico-per-la-presentazione-di-proposte-di-intervento-per-la-promozione-dellecoefficienza-e-riduzione-dei-consumi-energetici-nelle-sale-teatrali-e-nei-cinema-pubblici-e-privati-da/,2021-12-27,2022-03-18
Ministero della Transizione ecologica,"AVVISO M2C.1.1 I 1.2 Linea d’intervento D “Infrastrutturazione della raccolta delle frazioni di tessili pre-consumo e post consumo, ammodernamento dell’impiantistica e realizzazione di nuovi impianti di riciclo delle frazioni tessili in ottica sistemica cd. “Textile Hubs”",21/12/21,21/02/22,https://www.mite.gov.it/sites/default/files/archivio/bandi/ECI/TESTO_COORDINATO_AVVISO_M2C1_1I1.2-LINEA_D.pdf,2021-12-21,2022-02-21
Ministero della Transizione ecologica,"AVVISO M2C.1.1 I 1.2 Linea d’intervento C “Realizzazione di nuovi impianti per il riciclo dei rifiuti plastici (attraverso riciclo meccanico, chimico, Plastic Hubs), compresi i rifiuti di plastica in mare cd. Marine litter”",20/12/21,18/02/22,https://www.mite.gov.it/sites/default/files/archivio/bandi/ECI/TESTO_COORDINATO_AVVISO_M2C1_1I1.2-LINEA_C.pdf,2021-12-20,2022-02-18
