titoloFile,dataReport,hrefFile,titoloPagina,url
Abruzzo,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Abruzzo_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Basilicata,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Basilicata_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Calabria,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Calabria_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Campania,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Campania_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Emilia Romagna,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Emilia-Romagna_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Friuli Venezia Giulia,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Friuli-Venezia_Giulia_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Lazio,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Lazio_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Liguria,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Liguria_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Lombardia,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Lombardia_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Marche,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Marche_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Molise,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Molise_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
PA Bolzano,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/PA_Bolzano_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
PA Trento,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/PA_Trento_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Piemonte,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Piemonte_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Puglia,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Puglia_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Sardegna,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Sardegna_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Sicilia,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Sicilia_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Toscana,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Toscana_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Umbria,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Umbria_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Valle D'Aosta,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/ValledAosta_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
